mod,def,variable,value
age_55,0.17,w_Q_1,0
age_55,0.17,w_Q_2,0.538720864504019
age_55,0.17,w_Q_3,0.542060662463329
age_55,0.17,w_Q_4,0.546284583200479
age_55,0.17,w_Q_5,0.547337736820176
age_55,0.17,w_Q_6,0.541494584101965
age_55,0.17,w_Q_7,0.527555882596985
age_55,0.17,w_Q_8,0.507612054060106
age_55,0.17,beta_Q_2,0.989760125153562
age_55,0.17,beta_Q_3,0.984370697593543
age_55,0.17,beta_Q_4,0.978799085066748
age_55,0.17,beta_Q_5,0.973045509884288
age_55,0.17,beta_Q_6,0.967110470012215
age_55,0.17,beta_Q_7,0.960996772253698
age_55,0.17,beta_Q_8,0.954711209980171
age_55,0.17,beta_Q_9,0.948265007717425
age_55,0.17,beta_Q_10,0.941670625501834
age_55,0.17,beta_Q_11,0.934958677347962
age_55,0.17,beta_Q_12,0.928171734155981
age_55,0.17,beta_Q_13,0.921370214759315
age_55,0.17,beta_Q_14,0.914627889231813
age_55,0.17,beta_Q_15,0.907880594414609
age_55,0.17,beta_Q_16,0.901168166665223
age_55,0.17,beta_Q_17,0.894539450106572
age_55,0.17,h_Q_2,98.0751966240781
age_55,0.17,h_Q_3,96.2042296457049
age_55,0.17,h_Q_4,94.3842053002585
age_55,0.17,h_Q_5,92.6212878352547
age_55,0.17,h_Q_6,90.9163017495138
age_55,0.17,h_Q_7,89.2737736931642
age_55,0.17,h_Q_8,87.7025671151571
age_55,0.17,h_Q_9,86.2133113342629
age_55,0.17,h_Q_10,84.8114850696412
age_55,0.17,h_Q_11,83.5242881996593
age_55,0.17,h_Q_12,82.3808981528826
age_55,0.17,h_Q_13,81.4178982390884
age_55,0.17,h_Q_14,80.6713593657578
age_55,0.17,h_Q_15,80.0292263077398
age_55,0.17,h_Q_16,79.5064585146209
age_55,0.17,h_Q_17,79.1212138610914
age_55,0.17,lamda_Q_1,18.9333165670118
age_55,0.17,lamda_Q_2,16.3635425012557
age_55,0.17,lamda_Q_3,14.2199882364216
age_55,0.17,lamda_Q_4,12.4275714286261
age_55,0.17,lamda_Q_5,10.9253082858127
age_55,0.17,lamda_Q_6,9.66358344261122
age_55,0.17,lamda_Q_7,8.60194888429723
age_55,0.17,lamda_Q_8,7.70735602827779
age_55,0.17,lamda_Q_9,6.95274468172374
age_55,0.17,lamda_Q_10,6.31593778947066
age_55,0.17,lamda_Q_11,5.77864496130915
age_55,0.17,lamda_Q_12,5.32571913387466
age_55,0.17,lamda_Q_13,4.94452612235125
age_55,0.17,lamda_Q_14,4.62445780323947
age_55,0.17,lamda_Q_15,4.35725195063485
age_55,0.17,lamda_Q_16,4.13606558159082
age_55,0.17,lamda_Q_17,3.95520049778927
age_55,0.17,pen_Q_9,0.148867945464813
age_55,0.17,pen_Q_10,0.148867945464813
age_55,0.17,pen_Q_11,0.148867945464813
age_55,0.17,pen_Q_12,0.148867945464813
age_55,0.17,pen_Q_13,0.148867945464813
age_55,0.17,pen_Q_14,0.148867945464813
age_55,0.17,pen_Q_15,0.148867945464813
age_55,0.17,pen_Q_16,0.148867945464813
age_55,0.17,pen_Q_17,0.148867945464813
age_55,0.17,P_Q_1,0.3
age_55,0.17,P_Q_2,0.296928037546069
age_55,0.17,P_Q_3,0.292287259454305
age_55,0.17,P_Q_4,0.286090502130541
age_55,0.17,P_Q_5,0.278379078518664
age_55,0.17,P_Q_6,0.269223321467752
age_55,0.17,P_Q_7,0.258722742945929
age_55,0.17,P_Q_8,0.247005502967297
age_55,0.17,P_Q_9,0.23422667517753
age_55,0.17,P_Q_10,0.22056437972364
age_55,0.17,P_Q_11,0.206218580736488
age_55,0.17,P_Q_12,0.191406257697372
age_55,0.17,P_Q_13,0.176356024760905
age_55,0.17,P_Q_14,0.161300138680378
age_55,0.17,P_Q_15,0.146441265784296
age_55,0.17,P_Q_16,0.131968207010956
age_55,0.17,P_Q_17,0.118050767331102
age_55,0.17,welf_Q_1,-22.7382064011996
age_55,0.17,welf_Q_2,-18.4772575701425
age_55,0.17,welf_Q_3,-16.7024110984321
age_55,0.17,welf_Q_4,-15.0492220667846
age_55,0.17,welf_Q_5,-13.5016759929731
age_55,0.17,welf_Q_6,-12.0451738441918
age_55,0.17,welf_Q_7,-10.6660640140536
age_55,0.17,welf_Q_8,-9.350525929308
age_55,0.17,welf_Q_9,-8.08322512702261
age_55,0.17,welf_Q_10,-7.21041019843303
age_55,0.17,welf_Q_11,-6.37038108056117
age_55,0.17,welf_Q_12,-5.54976839501578
age_55,0.17,welf_Q_13,-4.7334316383638
age_55,0.17,welf_Q_14,-3.90399312439982
age_55,0.17,welf_Q_15,-3.04181437255172
age_55,0.17,welf_Q_16,-2.12353895517679
age_55,0.17,welf_Q_17,-1.12101845089159
age_55,0.17,a_Q_1,1.25220881650667
age_55,0.17,a_Q_2,1.25189373569489
age_55,0.17,a_Q_3,1.25965484616441
age_55,0.17,a_Q_4,1.26947050443353
age_55,0.17,a_Q_5,1.27191785055106
age_55,0.17,a_Q_6,1.25833937833998
age_55,0.17,a_Q_7,1.22594825660774
